Zeit t / s;Ereignisse N_A;Kanal n_A;Energie E_A / keV;Rate R_A / 1/s
0;15;0;0,102714285714285;
1,001;10;1;0,15792857142857;223,644772679816
2,001;2;2;0,213142857142856;238,33369100077
3,001;0;3;0,268357142857141;229,581956765836
4;0;4;0,32357142857143;240,336543261529
5,001;0;5;0,378785714285716;225,145440627373
6,001;0;6;0,434000000000001;244,342397000917
7,001;0;7;0,489214285714286;240,939722655062
8,001;0;8;0,544428571428572;227,09119982585
9,001;0;9;0,599642857142857;226,642038231845
10,001;0;10;0,654857142857143;246,467219915262
11,001;0;11;0,710071428571428;218,868897530379
12,001;0;12;0,765285714285714;222,088946623123
13,001;0;13;0,820500000000003;251,802284845939
14;0;14;0,875714285714288;260,104119679108
15,001;0;15;0,930928571428574;230,691253030595
16;0;16;0,986142857142859;212,297194843061
17,001;0;17;1,04135714285714;228,472941206481
18,001;0;18;1,09657142857143;230,322520625632
19,001;0;19;1,15178571428572;243,189338224067
20,001;0;20;1,207;230,831420373425
21;0;21;1,26221428571429;244,448808011509
22;0;22;1,31742857142857;218,755671790178
23;0;23;1,37264285714286;230,131773453479
24,001;0;24;1,42785714285714;233,167732428258
25,001;0;25;1,48307142857143;225,864707040483
26,001;0;26;1,53828571428571;223,089391919342
27,001;0;27;1,5935;204,072873092071
28;0;28;1,64871428571429;216,302758971733
29,001;0;29;1,70392857142857;205,182101333118
30;0;30;1,75914285714286;257,360252881984
31,001;0;31;1,81435714285714;231,800217049294
32,001;0;32;1,86957142857143;213,298746223961
33,001;0;33;1,92478571428571;235,126893104216
34,001;0;34;1,98;237,332692969004
35;0;35;2,03521428571429;257,594999814576
36,001;0;36;2,09042857142857;233,859917909172
37;0;37;2,14564285714286;221,088545962658
38,001;0;38;2,20085714285714;238,45476873492
39,001;0;39;2,25607142857143;226,023722860324
40,001;3;40;2,31128571428571;245,265710286444
41,001;7;41;2,3665;227,318723582335
42;9;42;2,42171428571429;261,745496424734
43,001;12;43;2,47692857142857;255,062208563703
44,001;15;44;2,53214285714286;243,340701315912
45,001;16;45;2,58735714285715;228,851179300122
46,001;23;46;2,64257142857143;226,254506374222
47;26;47;2,69778571428571;243,340847525128
48,001;21;48;2,753;221,818266512429
49,001;34;49;2,80821428571429;227,318473180927
50,001;27;50;2,86342857142857;208,740543942327
51;28;51;2,91864285714286;205,884560526913
52,001;34;52;2,97385714285714;243,957478211548
53;30;53;3,02907142857143;220,088123284563
54,001;27;54;3,08428571428571;191,872779252807
55,001;33;55;3,1395;227,318063434357
56,001;27;56;3,19471428571429;238,455033203477
57,001;24;57;3,24992857142857;231,323853394753
58,001;24;58;3,30514285714286;230,69112510169
59,001;24;59;3,36035714285714;210,294391118126
60;20;60;3,41557142857143;234,278028951213
61,001;25;61;3,47078571428571;236,094721202146
62,001;22;62;3,526;228,726569266899
63,001;16;63;3,58121428571429;211,99322243239
64,001;17;64;3,63642857142857;234,328129679991
65,001;24;65;3,69164285714286;202,963758879942
66,001;25;66;3,74685714285714;221,309833767274
67;15;67;3,80207142857143;236,590405692565
68,001;18;68;3,85728571428571;230,69094600146
69,001;21;69;3,9125;234,32829393981
70;23;70;3,96771428571429;230,691022758668
71,001;25;71;4,02292857142857;258,775372758705
72;27;72;4,07814285714286;262,367445607573
73,001;6;73;4,13335714285714;206,291102254396
74,001;27;74;4,18857142857143;217,304269438067
75;14;75;4,24378571428572;236,23642763496
76,001;22;76;4,299;221,344966129713
77,001;20;77;4,35421428571429;261,092979654191
78,001;25;78;4,40942857142857;224,314084581231
79,001;20;79;4,46464285714286;225,145640392947
80;26;80;4,51985714285714;220,308431804526
81;13;81;4,57507142857143;221,109913738119
82;15;82;4,63028571428571;227,596231850172
83,001;19;83;4,6855;225,390244333018
84,001;20;84;4,74071428571429;230,94706171494
85,001;16;85;4,79592857142857;231,092621922867
86,001;22;86;4,85114285714286;237,345571492091
87;18;87;4,90635714285714;205,287464035889
88,001;18;88;4,96157142857143;202,963623816794
89,001;22;89;5,01678571428572;254,355487228951
90,001;22;90;5,072;248,437450437283
91,001;18;91;5,12721428571429;214,300105868258
92;20;92;5,18242857142857;244,000336720465
93,001;22;93;5,23764285714286;252,353193529664
94;15;94;5,29285714285714;250,932948717522
95,001;20;95;5,34807142857143;233,859801049271
96,001;29;96;5,40328571428572;236,236663442166
97,001;13;97;5,4585;211,296025732051
98,001;19;98;5,51371428571429;229,58200769133
99;16;99;5,56892857142857;222,311213467733
100,001;21;100;5,62414285714286;246,218248520944
101;20;101;5,67935714285714;235,329555509536
102,001;19;102;5,73457142857143;215,16383783523
103,001;17;103;5,78978571428571;221,309900253325
104,001;20;104;5,845;268,697934223634
105,001;26;105;5,90021428571429;227,863555303085
106;22;106;5,95542857142857;221,088612315816
107,001;26;107;6,01064285714286;212,970124617472
108,001;18;108;6,06585714285714;232,325394948164
109,001;37;109;6,12107142857143;235,12741465873
110,001;22;110;6,17628571428572;223,312838956094
111,001;33;111;6,2315;244,000174349216
112,001;40;112;6,28671428571429;233,232159291359
113;39;113;6,34192857142857;240,963518123356
114,001;33;114;6,39714285714286;214,051018672125
115,001;43;115;6,45235714285714;215,543173797683
116,001;33;116;6,50757142857143;222,92748146846
117,001;29;117;6,56278571428571;237,257424305371
118,001;28;118;6,618;252,043327469347
119,001;28;119;6,67321428571429;252,100991657258
120,001;32;120;6,72842857142857;219,931747847585
121,001;32;121;6,78364285714286;199,249001477146
122,001;31;122;6,83885714285714;218,248982871111
123,001;33;123;6,89407142857143;223,089548144625
124,001;29;124;6,94928571428571;222,08907992996
125,001;37;125;7,0045;222,927333120314
126;47;126;7,05971428571429;235,329555509536
127,001;22;127;7,11492857142857;226,577269346283
128,001;37;128;7,17014285714286;233,859964653166
129;33;129;7,22535714285714;227,090881770885
130,001;48;130;7,28057142857143;221,818266512429
131,001;43;131;7,33578571428571;236,330910540939
132,001;51;132;7,391;239,563754403232
133,001;62;133;7,44621428571429;226,317138205768
134,001;51;134;7,50142857142857;240,672659009209
135,001;49;135;7,55664285714286;234,328223542716
136;49;136;7,61185714285714;234,018089487408
137,001;35;137;7,66707142857143;217,623265259444
138;29;138;7,72228571428572;249,061568019614
139,001;28;139;7,7775;229,83689241868
140,001;29;140;7,83271428571429;228,517471824683
141;19;141;7,88792857142857;224,241755036104
142;32;142;7,94314285714286;218,860096627288
143,001;15;143;7,99835714285714;235,48797050802
144,001;26;144;8,05357142857143;264,329050129116
145;23;145;8,10878571428571;228,091304949371
146,001;44;146;8,164;231,800345593243
147,001;26;147;8,21921428571429;237,014552693535
148,001;29;148;8,27442857142857;224,089725526101
149;23;149;8,32964285714286;207,082957432748
150,001;35;150;8,38485714285714;250,67649377679
151,001;33;151;8,44007142857143;245,538395149939
152,001;34;152;8,49528571428572;220,308475927994
153,001;37;153;8,5505;200,745664780914
154,001;33;154;8,60571428571428;230,690766901509
155;21;155;8,66092857142857;223,312100992347
156,001;31;156;8,71614285714286;237,609919570153
157,001;20;157;8,77135714285714;234,859436627179
158,001;21;158;8,82657142857143;222,088968840918
159,001;19;159;8,88178571428572;210,727329815222
160,001;20;160;8,937;224,314196895592
161;14;161;8,99221428571429;226,254732217543
162,001;21;162;9,04742857142857;224,285987062103
163,001;21;163;9,10264285714286;210,727446673201
164,001;20;164;9,15785714285714;231,323992383733
165;24;165;9,21307142857143;235,493620733303
166,001;28;166;9,26828571428572;218,491040980047
167,001;38;167;9,3235;212,297237362031
168,001;56;168;9,37871428571429;224,036573416064
169,001;52;169;9,43392857142857;219,30705180323
170,001;75;170;9,48914285714286;225,145740275867
171;95;171;9,54435714285714;227,252340999446
172;125;172;9,59957142857143;218,064961552046
172,999;142;173;9,65478571428572;227,676183605182
174;124;174;9,71;220,947438158866
175,001;148;175;9,76521428571429;247,276603053744
176,001;132;176;9,82042857142857;241,337848854612
177;107;177;9,87564285714286;255,451983967834
178,001;121;178;9,93085714285714;244,000147287362
179;83;179;9,98607142857143;252,353168258978
180,001;54;180;10,0412857142857;229,544405365218
181;50;181;10,0965;215,30163759427
182,001;34;182;10,1517142857143;204,29948261156
183,001;24;183;10,2069285714286;230,831727776592
184,001;30;184;10,2621428571429;235,32939054795
185;23;185;10,3173571428571;255,374268200052
186,001;27;186;10,3725714285714;240,855607063565
187,001;20;187;10,4277857142857;210,084117680719
188,001;28;188;10,483;220,782366167887
189,001;26;189;10,5382142857143;222,28732860095
190;29;190;10,5934285714286;229,582415096097
191,001;33;191;10,6486428571429;227,61632193342
192,001;24;192;10,7038571428571;247,851586470022
193,001;25;193;10,7590714285714;199,07975134839
194,001;27;194;10,8142857142857;214,054745887626
195,001;26;195;10,8695;208,291295376584
196,001;29;196;10,9247142857143;222,927629816803
197;35;197;10,9799285714286;222,311525140179
198,001;37;198;11,0351428571429;240,672712394778
199,001;48;199;11,0903571428571;214,300105868258
200,001;56;200;11,1455714285714;236,23624422968
201;72;201;11,2007857142857;242,339663272042
202;59;202;11,256;228,955788637214
203,001;96;203;11,3112142857143;205,338125296214
204;94;204;11,3664285714286;237,144065019499
205;119;205;11,4216428571429;198,775343995169
206,001;123;206;11,4768571428571;224,036672806972
207;106;207;11,5320714285714;220,47890222352
208,001;127;208;11,5872857142857;237,803431683371
209,001;93;209;11,6425;242,215709310927
210,001;142;210;11,6977142857143;208,496197883298
211;99;211;11,7529285714286;220,453522747591
212,001;88;212;11,8081428571429;224,043755745497
213,001;73;213;11,8633571428571;229,95587402284
214;76;214;11,9185714285714;241,316172449143
215,002;61;215;11,9737857142857;242,863661995885
216,001;72;216;12,029;239,963312275812
217,001;58;217;12,0842142857143;215,241737995943
218,001;50;218;12,1394285714286;229,681941551383
219;53;219;12,1946428571429;247,269870336485
220,001;53;220;12,2498571428571;222,847839495193
221,001;65;221;12,3050714285714;243,10017325605
222,001;65;222;12,3602857142857;204,209437198791
223;77;223;12,4155;239,97346959975
224,001;69;224;12,4707142857143;223,157571561279
225,001;51;225;12,5259285714286;216,321321694433
226,001;55;226;12,5811428571429;241,948041325169
227;54;227;12,6363571428571;215,243095552117
228,001;76;228;12,6915714285714;218,697649943882
229,001;74;229;12,7467857142857;242,145811766065
230,001;69;230;12,802;205,508927863256
231;78;231;12,8572142857143;228,880272729335
232;80;232;12,9124285714286;215,127699802603
233,001;84;233;12,9676428571429;231,860165134407
234,001;81;234;13,0228571428571;229,991766294767
235;103;235;13,0780714285714;232,05692356335
236,002;95;236;13,1332857142857;208,809518070964
237,001;100;237;13,1885;249,822625935586
238;92;238;13,2437142857143;224,069416705295
239,001;103;239;13,2989285714286;235,465320012364
240;106;240;13,3541428571429;228,02932457114
241;122;241;13,4093571428571;245,396102621319
242;113;242;13,4645714285714;219,919773266712
243;121;243;13,5197857142857;240,958932158845
244;127;244;13,575;207,346268268008
245;133;245;13,6302142857143;213,800358985204
246,001;122;246;13,6854285714286;248,405148797689
247;147;247;13,7406428571429;228,43448194109
248,001;137;248;13,7958571428571;201,917153391963
249,001;141;249;13,8510714285714;262,400344205154
250;124;250;13,9062857142857;220,470643890609
251;149;251;13,9615;235,343406549185
252,001;164;252;14,0167142857143;239,069354019601
253,001;136;253;14,0719285714286;249,937737732445
254;149;254;14,1271428571429;224,617409166966
255;168;255;14,1823571428571;239,196523864007
256,001;157;256;14,2375714285714;244,155662552459
257;155;257;14,2927857142857;214,240892459481
258,416;162;258;14,348;248,701091931026
259,001;162;259;14,4032142857143;209,990363775529
260,001;192;260;14,4584285714286;223,199428689534
261,001;185;261;14,5136428571429;222,05309178398
262;188;262;14,5688571428571;235,355363062688
263;198;263;14,6240714285714;248,432628564717
264;191;264;14,6792857142857;230,851531389149
265;193;265;14,7345;236,441270342841
266,001;182;266;14,7897142857143;235,131195998156
267;203;267;14,8449285714286;221,187611331932
268;206;268;14,9001428571429;232,198715660863
269,001;202;269;14,9553571428571;226,794048324716
270,001;222;270;15,0105714285714;268,239913778884
271;226;271;15,0657857142857;222,095455071922
272;241;272;15,121;238,64798700423
273;238;273;15,1762142857143;248,185046770872
274,001;188;274;15,2314285714286;236,562808274029
275,001;233;275;15,2866428571429;219,346743331859
276;227;276;15,3418571428571;240,070076455317
277,001;234;277;15,3970714285714;241,982363925713
278,001;254;278;15,4522857142857;227,57058740076
279,001;261;279;15,5075;232,38098863086
280,001;254;280;15,5627142857143;232,929236098073
281,001;257;281;15,6179285714286;248,274169165009
282;282;282;15,6731428571429;232,662773369064
283;274;283;15,7283571428571;216,017216572161
284,001;295;284;15,7835714285714;236,302112250512
285;282;285;15,8387857142857;236,341696833521
286,001;291;286;15,894;230,54071018166
287,001;256;287;15,9492142857143;220,82945540904
288,001;289;288;16,0044285714286;227,699170963979
289,001;246;289;16,0596428571429;222,203532436216
290,001;310;290;16,1148571428571;228,871138660579
291,001;291;291;16,1700714285714;240,130847298693
292;330;292;16,2252857142857;227,108058014003
293;317;293;16,2805;238,236640454964
294;310;294;16,3357142857143;252,906904192098
295;300;295;16,3909285714286;244,98211630551
296,001;279;296;16,4461428571429;253,969549051069
297;310;297;16,5013571428571;216,20790552195
298;315;298;16,5565714285714;228,88003886072
299;302;299;16,6117857142857;219,885024563823
;360;300;16,667;
;368;301;16,7222142857143;
;352;302;16,7774285714286;
;395;303;16,8326428571429;
;402;304;16,8878571428571;
;458;305;16,9430714285714;
;611;306;16,9982857142857;
;796;307;17,0535;
;1009;308;17,1087142857143;
;1354;309;17,1639285714286;
;1822;310;17,2191428571429;
;2300;311;17,2743571428571;
;2609;312;17,3295714285714;
;2851;313;17,3847857142857;
;2840;314;17,44;
;2840;315;17,4952142857143;
;2520;316;17,5504285714286;
;2119;317;17,6056428571429;
;1745;318;17,6608571428571;
;1267;319;17,7160714285714;
;899;320;17,7712857142857;
;658;321;17,8265;
;459;322;17,8817142857143;
;349;323;17,9369285714286;
;269;324;17,9921428571429;
;183;325;18,0473571428571;
;122;326;18,1025714285714;
;113;327;18,1577857142857;
;85;328;18,213;
;57;329;18,2682142857143;
;69;330;18,3234285714286;
;50;331;18,3786428571429;
;54;332;18,4338571428571;
;61;333;18,4890714285714;
;46;334;18,5442857142857;
;52;335;18,5995;
;51;336;18,6547142857143;
;55;337;18,7099285714286;
;56;338;18,7651428571429;
;45;339;18,8203571428571;
;58;340;18,8755714285714;
;49;341;18,9307857142857;
;41;342;18,986;
;54;343;19,0412142857143;
;61;344;19,0964285714286;
;65;345;19,1516428571429;
;69;346;19,2068571428571;
;79;347;19,2620714285714;
;92;348;19,3172857142857;
;116;349;19,3725;
;111;350;19,4277142857143;
;125;351;19,4829285714286;
;134;352;19,5381428571429;
;123;353;19,5933571428571;
;121;354;19,6485714285714;
;103;355;19,7037857142857;
;90;356;19,759;
;100;357;19,8142142857143;
;102;358;19,8694285714286;
;70;359;19,9246428571429;
;68;360;19,9798571428571;
;60;361;20,0350714285714;
;62;362;20,0902857142857;
;61;363;20,1455;
;55;364;20,2007142857143;
;57;365;20,2559285714286;
;44;366;20,3111428571429;
;60;367;20,3663571428571;
;60;368;20,4215714285714;
;49;369;20,4767857142857;
;68;370;20,532;
;56;371;20,5872142857143;
;68;372;20,6424285714286;
;52;373;20,6976428571429;
;59;374;20,7528571428571;
;60;375;20,8080714285714;
;71;376;20,8632857142857;
;64;377;20,9185;
;77;378;20,9737142857143;
;60;379;21,0289285714286;
;62;380;21,0841428571429;
;79;381;21,1393571428571;
;65;382;21,1945714285714;
;72;383;21,2497857142857;
;74;384;21,305;
;78;385;21,3602142857143;
;67;386;21,4154285714286;
;75;387;21,4706428571429;
;93;388;21,5258571428571;
;99;389;21,5810714285714;
;104;390;21,6362857142857;
;137;391;21,6915;
;130;392;21,7467142857143;
;145;393;21,8019285714286;
;148;394;21,8571428571429;
;157;395;21,9123571428571;
;147;396;21,9675714285714;
;167;397;22,0227857142857;
;142;398;22,078;
;95;399;22,1332142857143;
;106;400;22,1884285714286;
;97;401;22,2436428571429;
;92;402;22,2988571428571;
;96;403;22,3540714285714;
;84;404;22,4092857142857;
;81;405;22,4645;
;69;406;22,5197142857143;
;84;407;22,5749285714286;
;78;408;22,6301428571429;
;75;409;22,6853571428571;
;76;410;22,7405714285714;
;73;411;22,7957857142857;
;72;412;22,851;
;85;413;22,9062142857143;
;87;414;22,9614285714286;
;76;415;23,0166428571429;
;66;416;23,0718571428571;
;72;417;23,1270714285714;
;76;418;23,1822857142857;
;88;419;23,2375;
;84;420;23,2927142857143;
;90;421;23,3479285714286;
;77;422;23,4031428571429;
;85;423;23,4583571428571;
;81;424;23,5135714285714;
;85;425;23,5687857142857;
;87;426;23,624;
;95;427;23,6792142857143;
;101;428;23,7344285714286;
;83;429;23,7896428571429;
;63;430;23,8448571428571;
;83;431;23,9000714285714;
;82;432;23,9552857142857;
;81;433;24,0105;
;86;434;24,0657142857143;
;100;435;24,1209285714286;
;86;436;24,1761428571429;
;91;437;24,2313571428571;
;96;438;24,2865714285714;
;95;439;24,3417857142857;
;88;440;24,397;
;103;441;24,4522142857143;
;97;442;24,5074285714286;
;90;443;24,5626428571429;
;86;444;24,6178571428571;
;94;445;24,6730714285714;
;101;446;24,7282857142857;
;91;447;24,7835;
;90;448;24,8387142857143;
;93;449;24,8939285714286;
;72;450;24,9491428571429;
;90;451;25,0043571428571;
;99;452;25,0595714285714;
;69;453;25,1147857142857;
;89;454;25,17;
;78;455;25,2252142857143;
;89;456;25,2804285714286;
;85;457;25,3356428571429;
;96;458;25,3908571428571;
;80;459;25,4460714285714;
;79;460;25,5012857142857;
;75;461;25,5565;
;66;462;25,6117142857143;
;88;463;25,6669285714286;
;82;464;25,7221428571429;
;79;465;25,7773571428571;
;86;466;25,8325714285714;
;90;467;25,8877857142857;
;61;468;25,943;
;76;469;25,9982142857143;
;65;470;26,0534285714286;
;88;471;26,1086428571429;
;77;472;26,1638571428571;
;83;473;26,2190714285714;
;68;474;26,2742857142857;
;74;475;26,3295;
;70;476;26,3847142857143;
;67;477;26,4399285714286;
;72;478;26,4951428571429;
;80;479;26,5503571428571;
;64;480;26,6055714285714;
;70;481;26,6607857142857;
;65;482;26,716;
;63;483;26,7712142857143;
;75;484;26,8264285714286;
;69;485;26,8816428571429;
;77;486;26,9368571428571;
;56;487;26,9920714285714;
;54;488;27,0472857142857;
;70;489;27,1025;
;56;490;27,1577142857143;
;62;491;27,2129285714286;
;70;492;27,2681428571429;
;58;493;27,3233571428571;
;65;494;27,3785714285714;
;64;495;27,4337857142857;
;64;496;27,489;
;58;497;27,5442142857143;
;50;498;27,5994285714286;
;50;499;27,6546428571429;
;63;500;27,7098571428571;
;42;501;27,7650714285714;
;51;502;27,8202857142857;
;47;503;27,8755;
;48;504;27,9307142857143;
;57;505;27,9859285714286;
;48;506;28,0411428571429;
;52;507;28,0963571428571;
;51;508;28,1515714285714;
;51;509;28,2067857142857;
;39;510;28,262;
;1319;511;28,3172142857143;
